ID,scaffold,mean_shap_full,mean_shap_test,mean_shap,effect_test
pos152,O=C1CC(c2ccccc2)Oc2c1ccc1c2C=CCO1,0.001156655,0.001156655,0.001156655,positive
pos153,O=C(OC(Cc1cc[nH+]cc1)c1cccc(OCC2CC2)c1)c1ccccc1,0.001147383,0.001147383,0.001147383,positive
pos154,O=C(OC(Cc1cc[nH+]cc1)c1cccc(OCC2CC2)c1)c1ccc(OCc2ccccc2)cc1,0.001142669,0.001142669,0.001142669,positive
pos155,c1ccc(-c2cn3c4nc(ncc24)NCCCCCCCCCCCC3)cc1,0.001139663,0.001139663,0.001139663,positive
pos156,O=C(C=Cc1ccccc1)c1ccc[nH]c1=O,0.001133207,0.001133207,0.001133207,positive
pos157,O=C1c2ccc(Nc3ccccc3)cc2CCc2c1cccc2C1CCOCC1,0.001127369,0.001127369,0.001127369,positive
pos158,c1cn(-c2ccc(Nc3nccc(-c4cc5c(o4)CCNC5)n3)cc2)cn1,0.001126707,0.001126707,0.001126707,positive
pos159,N=C1C(=Cc2ccc(OC(=O)c3ccco3)cc2)C(=O)N=C2SC=NN12,0.001122096,0.001122096,0.001122096,positive
pos160,C1=CCCCC=CCCCC=CCC1,0.001118593,0.001118593,0.001118593,positive
pos161,c1cc2c(o1)CC1CC34CCC(OC3CC1C2)O4,0.00110592,0.00110592,0.00110592,positive
pos162,O=c1c2ccccc2nc(-c2ccco2)n1N=Cc1ccco1,0.001105321,0.001105321,0.001105321,positive
pos163,O=C(CCS(=O)(=O)c1ccccc1)Nc1ccc(-c2nc3ccccc3s2)cc1,0.001103264,0.001103264,0.001103264,positive
pos164,N=C1C(=Cc2ccc(OS(=O)(=O)c3ccccc3)cc2)C(=O)N=C2SC=NN12,0.001095622,0.001095622,0.001095622,positive
pos165,O=C1ON=CC1=Cc1ccc(-c2ccccc2)o1,0.001094895,0.001094895,0.001094895,positive
pos166,O=C1CCCc2nc3sccc3cc21,0.001088131,0.001088131,0.001088131,positive
pos167,C=C1CCC2CCCCC2C1,0.001084886,0.001084886,0.001084886,positive
pos168,C1=CCC2CCCC2CC1,0.001084602,0.001084602,0.001084602,positive
pos169,O=C(C=Cc1ccccc1)NC(=S)Nc1ccccc1,0.00107901,0.00107901,0.00107901,positive
pos170,C1=Cc2ccccc2C1=Cc1ccccc1,0.001078975,0.001078975,0.001078975,positive
pos171,O=C1CCCC1,0.001076035,0.001076035,0.001076035,positive
pos172,C=C1C(=O)OC2CCC3OC3CC12,0.001067571,0.001067571,0.001067571,positive
pos173,O=C1C=C(C2C=C3C(C2)OC2CC4CC=CC(=O)C4CC32)CO1,0.001065517,0.001065517,0.001065517,positive
pos174,c1ccc(C2CCc3ccccc3O2)cc1,0.001063672,0.001063672,0.001063672,positive
pos175,O=C(Cc1ccc(-c2ccccc2)cc1)NCCc1ccccc1,0.001063087,0.001063087,0.001063087,positive
pos176,c1ccc(Nc2nccc(-c3cc4c(o3)CCNC4)n2)cc1,0.001057884,0.001057884,0.001057884,positive
pos177,O=C(Nc1cccc(Nc2ccc3c(c2)CCc2ccccc2C3=O)c1)c1ccoc1,0.001057726,0.001057726,0.001057726,positive
pos178,O=C1CC=C(C=CCOC2CCCCO2)CC1,0.001057136,0.001057136,0.001057136,positive
pos179,O=C1NCCc2ccccc21,0.001056809,0.001056809,0.001056809,positive
pos180,O=C(NN=Cc1ccc(-c2ccccc2)o1)c1ccc(Cn2cccn2)o1,0.001050012,0.001050012,0.001050012,positive
pos181,O=C(NNC(=S)NC(=O)C1CCCCC1)c1ccncc1,0.001048009,0.001048009,0.001048009,positive
pos182,O=C1OCOC(=O)C1=Cc1ccccc1,0.001037795,0.001037795,0.001037795,positive
pos183,O=C(C=Cc1ccccc1)c1cccs1,0.001032612,0.001032612,0.001032612,positive
pos184,O=C(NC(=S)NNC(=O)c1cccs1)c1ccccc1,0.001032221,0.001032221,0.001032221,positive
pos185,O=C1C2CC=CCC2C(c2ccccc2)=NN1Cc1ccc(CN2CCOCC2)cc1,0.001030816,0.001030816,0.001030816,positive
pos186,c1ccc(-c2cc3cc4ccccc4oc-3c2)cc1,0.001027358,0.001027358,0.001027358,positive
pos187,O=C(N1CCCCC1)n1cc(-c2ccccc2)c(=O)o1,0.001026413,0.001026413,0.001026413,positive
pos188,O=C(C[SH+]c1ccccc1)OCc1ccccc1,0.001024711,0.001024711,0.001024711,positive
pos189,c1ccc(-c2cccc(-c3nccc4c3CNC4)c2)cc1,0.001021856,0.001021856,0.001021856,positive
pos190,O=C(Nc1ccccn1)n1ccc(=O)o1,0.001019675,0.001019675,0.001019675,positive
pos191,c1ccc(-c2ccc(NC3CCCC3)cc2)cc1,0.001019519,0.001019519,0.001019519,positive
pos192,O=C(Nc1ccc(N2CCOCC2)cc1)c1ccco1,0.001018288,0.001018288,0.001018288,positive
pos193,O=C1NC(=S)SC1=Cc1cn(-c2ccccc2)nc1-c1ccco1,0.001017815,0.001017815,0.001017815,positive
pos194,O=C(NNC(=S)NC(=O)c1cccs1)c1ccccc1,0.00101724,0.00101724,0.00101724,positive
pos195,O=C1CCC(c2ccc(OCCCCn3nc(-c4cccn5nccc45)ccc3=O)cc2)=NN1,0.001015807,0.001015807,0.001015807,positive
pos196,O=C1CCC(=O)C1=O,0.00101268,0.00101268,0.00101268,positive
pos197,O=C1NC(=O)N(c2ccccc2)C(=O)C1=Cc1c[nH]c2ccccc12,0.001009586,0.001009586,0.001009586,positive
pos198,c1ccc(CN2C3CNCC2C3c2ccccc2)cc1,0.001009135,0.001009135,0.001009135,positive
pos199,O=C(N1CCCCCC1)n1ccc(=O)o1,0.001009028,0.001009028,0.001009028,positive
pos200,O=C1C(=Cc2ccccc2)C=NN1c1nc(-c2ccccc2)cs1,0.001006983,0.001006983,0.001006983,positive
pos201,c1ccc(Sc2nnnn2-c2ccccc2)cc1,0.001004558,0.001004558,0.001004558,positive
pos202,O=C(Cc1ccccc1)OC1CCC2C(=O)C=CC3CC3CCC3(CO3)CC12,0.001003474,0.001003474,0.001003474,positive
pos203,O=C(C=Cc1ccco1)N=C(Cc1ccccc1)C(=O)NCCc1nc2ccccc2[nH]1,0.001002196,0.001002196,0.001002196,positive
pos204,O=C(CCc1ccccc1)NC(=S)N=NC(=O)c1ccn[nH]1,0.0009958,0.0009958,0.0009958,positive
pos205,O=C(C=Cc1ccccc1)NC(=S)Nc1ccc(CN2CCOCC2)cc1,0.000994894,0.000994894,0.000994894,positive
pos206,C1CC2CC3C(CCC24CCC1C4)CC1OC13,0.000993419,0.000993419,0.000993419,positive
pos207,O=C(NCc1cc[nH]c(=O)c1)c1cnc2ccccc2c1,0.000993044,0.000993044,0.000993044,positive
pos208,O=C(N1CC=CC1)n1ccc(=O)o1,0.000991301,0.000991301,0.000991301,positive
pos209,c1ccc(C2(OCc3ccc(-c4ccc5c(c4)OCO5)cc3)CNC2)cc1,0.0009908,0.0009908,0.0009908,positive
pos210,O=C(Nc1cnc2ccccc2c1)C1CCN(S(=O)(=O)c2ccccc2)CC1,0.000985057,0.000985057,0.000985057,positive
pos211,O=C1NCCC12CCN(c1ccnc(Nc3ccccc3)n1)CC2,0.000984923,0.000984923,0.000984923,positive
pos212,O=C(N1CCCCC1)n1nc(-c2ccccc2)nc1SCC1CC1,0.000978052,0.000978052,0.000978052,positive
pos213,O=c1ccn(-c2ccc3c(c2)CCC3)c2nc(Nc3ccc(CCN4CCNCC4)cc3)ncc12,0.000972875,0.000972875,0.000972875,positive
pos214,N=C(N=c1nccc[nH]1)Nc1ccc(-c2ccccc2)cc1,0.000972226,0.000972226,0.000972226,positive
pos215,O=C1C=CC(CCC=CCCC=CCCC2=CC(=O)OC2)CC1,0.000971862,0.000971862,0.000971862,positive
pos216,O=C(Nc1ccnn1-c1ccccc1)NC1CCC(Oc2ccc3nncn3c2)CC1,0.000971338,0.000971338,0.000971338,positive
pos217,O=C1CCOc2cc3ccccc3cc21,0.000969518,0.000969518,0.000969518,positive
