Index,Input_SMILES,canonical_smiles,Prob_LightGBM,Prob_RF,Prob_BiLSTM,Average_Probability,Prediction,Assessment
730,N#C[C@H]1[C@H](c2ccc(C#CC3CCCCC3)cc2)[C@H](CO)N1C(=O)Nc1ccc(F)cc1,N#C[C@H]1[C@H](c2ccc(C#CC3CCCCC3)cc2)[C@H](CO)N1C(=O)Nc1ccc(F)cc1,0.071280484,0.2325,0.004663188,0.102814557,non-carcinogen,safety
733,COc1ccc2c3c(n(C)c2c1)[C@@H](CO)N(C(=O)Nc1ccc(F)cc1)CC31CN(Cc2ccccc2F)C1,COc1ccc2c3c(n(C)c2c1)[C@@H](CO)N(C(=O)Nc1ccc(F)cc1)CC31CN(Cc2ccccc2F)C1,0.474370578,0.22,0.109759636,0.268043405,non-carcinogen,safety
734,C/C=C/c1ccc(C2[C@H]3CNC[C@@H]2N3Cc2cccc(OC)c2)cc1,C/C=C/c1ccc(C2[C@H]3CNC[C@@H]2N3Cc2cccc(OC)c2)cc1,0.163061584,0.195,0.178883553,0.178981712,non-carcinogen,safety
736,CC(C)NC(=O)N1CC(=O)N2[C@H](CO)[C@@H](c3ccc(/C=C/c4ccccc4)cc3)[C@H]2C1,CC(C)NC(=O)N1CC(=O)N2[C@H](CO)[C@@H](c3ccc(/C=C/c4ccccc4)cc3)[C@H]2C1,0.135686637,0.3,0.028698597,0.154795078,non-carcinogen,safety
737,Cc1ccccc1S(=O)(=O)N1[C@@H]2CNC[C@H]1C2c1ccc(/C=C/c2ccccc2)cc1,Cc1ccccc1S(=O)(=O)N1[C@@H]2CNC[C@H]1C2c1ccc(/C=C/c2ccccc2)cc1,0.164200601,0.26,0.095793247,0.173331283,non-carcinogen,safety
738,O=S(=O)(c1ccccc1)N1[C@@H]2CNC[C@H]1C2c1ccc(/C=C/c2ccccc2)cc1,O=S(=O)(c1ccccc1)N1[C@@H]2CNC[C@H]1C2c1ccc(/C=C/c2ccccc2)cc1,0.205395706,0.26,0.084359095,0.1832516,non-carcinogen,safety
739,N#C[C@H]1[C@@H](c2ccc(C#CC3CCCCC3)cc2)[C@@H](CO)N1C(=O)Nc1ccc(F)cc1,N#C[C@H]1[C@@H](c2ccc(C#CC3CCCCC3)cc2)[C@@H](CO)N1C(=O)Nc1ccc(F)cc1,0.071280484,0.2325,0.004663188,0.102814557,non-carcinogen,safety
740,COc1ccc2c3c(n(C)c2c1)[C@H](CO)N(C(=O)Nc1ccc(F)cc1)CC31CCN(C(=O)Nc2ccc(F)cc2F)CC1,COc1ccc2c3c(n(C)c2c1)[C@H](CO)N(C(=O)Nc1ccc(F)cc1)CC31CCN(C(=O)Nc2ccc(F)cc2F)CC1,0.351136318,0.19,0.028562304,0.18989954,non-carcinogen,safety
754,CN1[C@@H]2CN(S(C)(=O)=O)C[C@H]1C2c1ccc(Br)cc1,CN1[C@@H]2CN(S(C)(=O)=O)C[C@H]1C2c1ccc(Br)cc1,0.356520769,0.405,0.179178029,0.313566266,non-carcinogen,safety
764,Cc1[nH]c2ccccc2c1CCNC(=O)c1ccc(-c2ccccc2)nc1,Cc1[nH]c2ccccc2c1CCNC(=O)c1ccc(-c2ccccc2)nc1,0.121366475,0.300404762,0.06236415,0.161378462,non-carcinogen,safety
765,Cc1cccc(Nc2ncc(C(=O)NCCc3c(C)[nH]c4ccccc34)cn2)n1,Cc1cccc(Nc2ncc(C(=O)NCCc3c(C)[nH]c4ccccc34)cn2)n1,0.212929364,0.443214286,0.828188598,0.494777416,non-carcinogen,safety
768,Cc1[nH]c2ccccc2c1CCNC(=O)c1ccc(-c2ccccc2F)nc1,Cc1[nH]c2ccccc2c1CCNC(=O)c1ccc(-c2ccccc2F)nc1,0.262051581,0.404214286,0.027422717,0.231229528,non-carcinogen,safety
769,CC(=O)Nc1ccc(-c2ccc(C(=O)NCCc3c(C)[nH]c4ccccc34)cn2)cc1,CC(=O)Nc1ccc(-c2ccc(C(=O)NCCc3c(C)[nH]c4ccccc34)cn2)cc1,0.242641462,0.350714286,0.119037576,0.237464441,non-carcinogen,safety
770,Cc1[nH]c2ccccc2c1CCNC(=O)c1cnc(Nc2ccccn2)nc1,Cc1[nH]c2ccccc2c1CCNC(=O)c1cnc(Nc2ccccn2)nc1,0.271485925,0.308214286,0.899986267,0.493228826,non-carcinogen,safety
771,COc1cc(OC)cc(-c2ccc(C(=O)NCCc3c(C)[nH]c4ccccc34)cn2)c1,COc1cc(OC)cc(-c2ccc(C(=O)NCCc3c(C)[nH]c4ccccc34)cn2)c1,0.070854043,0.388214286,0.050045829,0.169704719,non-carcinogen,safety
774,Cc1[nH]c2ccccc2c1CCNC(=O)c1cnc(Nc2cccc(=O)[nH]2)nc1,Cc1[nH]c2ccccc2c1CCNC(=O)c1cnc(Nc2cccc(=O)[nH]2)nc1,0.180653337,0.400714286,0.874820113,0.485395912,non-carcinogen,safety
