Index,Input_SMILES,canonical_smiles,corrosion_prob,corrosion_label,irritation_prob,irritation_label,sensitization_prob,sensitization_label,Summary,Assessment
558,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@]2(O)C3=O)O1,C=C(C)[C@H]1Cc2c(ccc3c2O[C@@H]2COc4cc(OC)c(OC)cc4[C@]2(O)C3=O)O1,2.41E-05,0,0.025375007,0,8.15E-05,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
566,C=C(C)c1cccc(C(C)(C)NC(=O)N2CCCCC2CC)c1,C=C(C)c1cccc(C(C)(C)NC(=O)N2CCCCC2CC)c1,0.003446762,0,0.013615954,0,0.999998271,1,"✅ Non-corrosive, ✅ Non-irritant, ❌ Sensitizer",non-safety
584,C=C(CC(=O)C[C@@H](C)[C@]1(C)CCC(=C)[C@]12CC[C@@H]1C2=CC[C@@H](C(=C)C)[C@]1(C)CCO[C]O)C(=O)O,C=C(CC(=O)C[C@@H](C)[C@]1(C)CCC(=C)[C@]12CC[C@@H]1C2=CC[C@@H](C(=C)C)[C@]1(C)CCO[C]O)C(=O)O,0.000107895,0,0.039563198,0,4.89E-05,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
585,C=C1C(=O)O[C@@H]2C3[C@@]4(C=C[C@@]3(C)[C@]3(C4)C(=O)O[C@@H]4[C@H]5[C@@](C)(O)[C@H](O)[C@@H]6O[C@@]65[C@](C)(O)CC[C@@H]43)[C@](C)(O)CC[C@@H]12,C=C1C(=O)O[C@@H]2C3[C@@]4(C=C[C@@]3(C)[C@]3(C4)C(=O)O[C@@H]4[C@H]5[C@@](C)(O)[C@H](O)[C@@H]6O[C@@]65[C@](C)(O)CC[C@@H]43)[C@](C)(O)CC[C@@H]12,0.000160003,0,0.021383874,0,7.94E-06,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
592,C=C1C(=O)O[C@@H]2C3[C@@]4(C=C[C@@]3(C)[C@]3(C4)C(=O)O[C@@H]4[C@H]5[C@](C)(O)[C@H](O)[C@@H]6O[C@@]65[C@](C)(O)CC[C@@H]43)[C@](C)(O)CC[C@@H]12,C=C1C(=O)O[C@@H]2C3[C@@]4(C=C[C@@]3(C)[C@]3(C4)C(=O)O[C@@H]4[C@H]5[C@](C)(O)[C@H](O)[C@@H]6O[C@@]65[C@](C)(O)CC[C@@H]43)[C@](C)(O)CC[C@@H]12,0.000160003,0,0.021383874,0,3.12E-05,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
597,C=C1C(=O)O[C@@H]2C[C@@]3(C)CCC[C@H](C)C3=C[C@H]12,C=C1C(=O)O[C@@H]2C[C@@]3(C)CCC[C@H](C)C3=C[C@H]12,0.000961392,0,0.077571534,0,0.999278605,1,"✅ Non-corrosive, ✅ Non-irritant, ❌ Sensitizer",non-safety
599,C=C1C(=O)O[C@@H]2C[C@H](C)[C@]3(CCC(C)O)O[C@@H]3C[C@H]12,C=C1C(=O)O[C@@H]2C[C@H](C)[C@]3(CCC(C)O)O[C@@H]3C[C@H]12,0.000369409,0,0.247622624,0,0.003110074,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
614,C=C1C(=O)O[C@@H]2[C@H]3C(C)=CC[C@@H](O)[C@]3(C)CC[C@@H]12,C=C1C(=O)O[C@@H]2[C@H]3C(C)=CC[C@@H](O)[C@]3(C)CC[C@@H]12,0.000167607,0,0.13756156,0,0.999934554,1,"✅ Non-corrosive, ✅ Non-irritant, ❌ Sensitizer",non-safety
620,C=C1CC[C@H]2C(=C)CC[C@@H]3[C@H](OC(=O)C3(CC(C)=O)C[C@H]3C(=O)O[C@@H]4/C=C(/C)CC/C=C(/C)CC[C@H]43)[C@@H]12,C=C1CC[C@H]2C(=C)CC[C@@H]3[C@H](OC(=O)C3(CC(C)=O)C[C@H]3C(=O)O[C@@H]4/C=C(/C)CC/C=C(/C)CC[C@H]43)[C@@H]12,0.00010291,0,0.103452325,0,0.000494804,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
631,C=C1CC[C@H]2C(=C)CC[C@@H]3[C@H](OC(=O)C3(CC(C)=O)C[C@H]3C(=O)O[C@H]4C3CC[C@@]3(C)CC=C(C)C[C@H]43)[C@@H]12,C=C1CC[C@H]2C(=C)CC[C@@H]3[C@H](OC(=O)C3(CC(C)=O)C[C@H]3C(=O)O[C@H]4C3CC[C@@]3(C)CC=C(C)C[C@H]43)[C@@H]12,0.000112659,0,0.095722549,0,0.000319294,0,"✅ Non-corrosive, ✅ Non-irritant, ✅ Non-sensitizer",safety
