scaffold,mean_shap,effect
O=C1O[C@H]2[C@@H]3OC(=O)c4ccccc4-c4ccc5oc(=O)c6c(ccc7oc(=O)c4c5c76)-c4ccccc4C(=O)OC[C@H]3OC[C@@H]2OC(=O)c2ccccc2-c2ccccc21,0.0016940071,positive
O=C1C=C2CCC3C4CCCC4CCC3C2CC1,0.001693103,positive
c1ccc(-c2ccc(-c3csc4ncnc(Sc5nnn[nH]5)c34)cc2)cc1,0.0016929221,positive
O=C1c2ccc3c(c2O[C@@H]2COc4ccccc4[C@H]12)C=CCO3,0.0016907402,positive
C1=CC2CCCCC2[C@H]2CCC3CCCC3=C12,0.0016901037,positive
O=C1NC(=S)NC(=O)C1=Cc1ccccc1,0.0016900889,positive
N=C1/C(=C/c2ccc(OCCOc3ccccc3)cc2)C(=O)N=C2C=CON12,0.001687487,positive
O=C(Nc1ccnn1-c1cn[nH]c1)N[C@H]1CC[C@@H](Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,0.0016853503,positive
O=C(C=Cc1ccc(N2CCCCC2)o1)Nc1ccccc1,0.0016850359,positive
O=C1CC[C@@H]2C(=CC[C@H]3C4CCCC4CC(=O)C32)C1,0.0016843682,positive
O=C1C=C2C3CC4[C@@H]5C(CC[C@@H]4OC(=O)/C=C/c4ccccc4)CO[C@H]5[C@H]3O[C@@H]2C1,0.0016835907,positive
C(/C=C/c1ccccc1)=Nc1cccc(-c2nc3ccccc3s2)c1,0.0016832536,positive
O=C1C=CC2[C@@H](CCC3C4=CC[C@@H](c5ccoc5)C4CC[C@@H]32)C1,0.0016826099,positive
O=C(C/C=C/c1ccccc1)OCc1ccccc1,0.0016824749,positive
C=C1c2ccoc2CC2C1CCC1CCCCC12,0.0016822726,positive
O=C(/C=C/c1ccc(Sc2nnc[nH]2)cc1)c1ccccc1,0.0016781928,positive
N=C1/C(=C\c2ccc(OC(=O)c3ccco3)cc2)C(=O)N=C2SC=NN12,0.0016743686,positive
O=C1/C=C\C=C\CCCCCCCC/C=C/OC2Oc3ccc4cc(c(C=NN5CCNCC5)cc4c3C2=O)N1,0.0016741429,positive
O=C(/C=C/c1ccc2occc2c1)c1ccccc1,0.0016733459,positive
O=C1CC(c2ccc3c(c2)C=CCO3)Oc2ccccc21,0.0016732404,positive
O=c1c(-c2ccc3c(c2)C=CCO3)coc2cc3c(cc12)CCCO3,0.0016709868,positive
O=C1CC(=O)C2=C(C1)O[C@@]1(CCCC=CC[C@H]3CC[C@@H]31)CC2,0.0016690335,positive
O=C1C=CC2C(=C1)CC[C@@H]1[C@@H]2CCC2C(C(=O)COC(=O)CCC(=O)NCCc3ccccc3)CC[C@H]21,0.0016685349,positive
O=C(NC1CC1)c1cc2c(-c3ccco3)c3c(nc2s1)/C(=C\c1ccco1)CC3,0.0016683696,positive
O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,0.0016676639,positive
C1=C2CC[C@H]3CCCCC3C2CCC1,0.0016671831,positive
O=C1C=C2CCCC3CCC(/C=C\2O1)O3,0.0016627898,positive
