Unnamed: 0,np_id,InChI,InChIKey,canonical_smiles,lipinski_rule_of_five_violations,sa_score
2114,NPC26850,"InChI=1S/C16H13NO/c1-18-16-11-15(12-7-3-2-4-8-12)17-14-10-6-5-9-13(14)16/h2-11H,1H3",CVJHRDUVYHASOG-UHFFFAOYSA-N,COc1cc(-c2ccccc2)nc2ccccc12,0,1.519668546456355
2150,NPC295593,"InChI=1S/C30H62/c1-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-19-20-21-22-23-24-25-26-27-28-29-30(2)3/h30H,4-29H2,1-3H3",NLAGNNORBYGNAV-UHFFFAOYSA-N,CCCCCCCCCCCCCCCCCCCCCCCCCCCC(C)C,1,1.5798389820057075
2193,NPC217299,"InChI=1S/C17H18O5/c1-19-13-8-5-4-7-12(13)11-22-17(18)16-14(20-2)9-6-10-15(16)21-3/h4-10H,11H2,1-3H3",DEEMMGPYISQBGI-UHFFFAOYSA-N,COc1ccccc1COC(=O)c1c(OC)cccc1OC,0,1.7582786921743505
2299,NPC130983,"InChI=1S/C15H10O3/c1-18-12-8-4-7-11-13(12)15(17)10-6-3-2-5-9(10)14(11)16/h2-8H,1H3",CQGDBBBZCJYDRY-UHFFFAOYSA-N,COc1cccc2c1C(=O)c1ccccc1C2=O,0,1.7126443852679323
2313,NPC260773,"InChI=1S/C8H9NO2/c1-11-8-4-2-7(3-5-8)6-9-10/h2-6,10H,1H3/b9-6-",FXOSHPAYNZBSFO-TWGQIWQCSA-N,COc1ccc(/C=N\O)cc1,0,1.8141809814585201
2332,NPC18224,"InChI=1S/C6H10O4/c7-5(8)3-1-2-4-6(9)10/h1-4H2,(H,7,8)(H,9,10)",WNLRTRBMVRJNCN-UHFFFAOYSA-N,O=C(O)CCCCC(=O)O,0,1.5942681832435603
2386,NPC47363,"InChI=1S/C17H34O2/c1-4-5-6-7-8-9-10-11-12-13-14-15-17(18)19-16(2)3/h16H,4-15H2,1-3H3",AXISYYRBXTVTFY-UHFFFAOYSA-N,CCCCCCCCCCCCCC(=O)OC(C)C,1,1.830419045121035
2426,NPC194416,"InChI=1S/C10H12O4/c1-14-9-6-7(2-4-8(9)11)3-5-10(12)13/h2,4,6,11H,3,5H2,1H3,(H,12,13)",BOLQJTPHPSDZHR-UHFFFAOYSA-N,COc1cc(CCC(=O)O)ccc1O,0,1.6729506261779683
2514,NPC245561,"InChI=1S/C9H10O3/c10-8-4-1-7(2-5-8)3-6-9(11)12/h1-2,4-5,10H,3,6H2,(H,11,12)",NMHMNPHRMNGLLB-UHFFFAOYSA-N,O=C(O)CCc1ccc(O)cc1,0,1.5206884145546908
2577,NPC150837,"InChI=1S/C7H8O/c1-6-3-2-4-7(8)5-6/h2-5,8H,1H3",RLSSMJSEOOYNOY-UHFFFAOYSA-N,Cc1cccc(O)c1,0,1.4995530855596755
2629,NPC6888,"InChI=1S/C9H10O4/c1-12-6-4-3-5-7(13-2)8(6)9(10)11/h3-5H,1-2H3,(H,10,11)",MBIZFBDREVRUHY-UHFFFAOYSA-N,COc1cccc(OC)c1C(=O)O,0,1.6128907390198144
2657,NPC314252,"InChI=1S/C7H7NO3/c8-5-3-4(7(10)11)1-2-6(5)9/h1-3,9H,8H2,(H,10,11)",MRBKRZAPGUCWOS-UHFFFAOYSA-N,Nc1cc(C(=O)O)ccc1O,0,1.8263674450505452
2674,NPC160179,"InChI=1S/C7H7NO2/c8-7(10)5-1-3-6(9)4-2-5/h1-4,9H,(H2,8,10)",QXSAKPUBHTZHKW-UHFFFAOYSA-N,NC(=O)c1ccc(O)cc1,0,1.4771001359062836
2697,NPC280135,"InChI=1S/C11H10/c1-9-6-7-10-4-2-3-5-11(10)8-9/h2-8H,1H3",QIMMUPPBPVKWKM-UHFFFAOYSA-N,Cc1ccc2ccccc2c1,0,1.2376998555279997
2726,NPC42783,"InChI=1S/C11H24O2/c12-10-8-6-4-2-1-3-5-7-9-11-13/h12-13H,1-11H2",XSMIOONHPKRREI-UHFFFAOYSA-N,OCCCCCCCCCCCO,0,1.4534861062348003
2750,NPC479930,"InChI=1S/C15H14O4/c1-19-12-6-7-13(15(18)9-12)14(17)8-10-2-4-11(16)5-3-10/h2-7,9,16,18H,8H2,1H3",XEWWCLQWPNUBRE-UHFFFAOYSA-N,COc1ccc(C(=O)Cc2ccc(O)cc2)c(O)c1,0,1.8282794224795254
2780,NPC73840,"InChI=1S/C19H30O2/c20-19(21)17-13-8-6-4-2-1-3-5-7-10-14-18-15-11-9-12-16-18/h9,11-12,15-16H,1-8,10,13-14,17H2,(H,20,21)",JVPLVXRNWLOHML-UHFFFAOYSA-N,O=C(O)CCCCCCCCCCCCc1ccccc1,1,1.6371863694863933
2875,NPC475428,"InChI=1S/C15H15N/c1-10(2)11-7-5-8-13-12-6-3-4-9-14(12)16-15(11)13/h3-10,16H,1-2H3",ZTOFNRMEKUYYOE-UHFFFAOYSA-N,CC(C)c1cccc2c1[nH]c1ccccc12,0,1.8811872713349551
