ID,scaffold_smiles,mean_shap,effect,tsne_x,tsne_y
Train: Pos 143,c1cc(C2CCC3C2CCC2C4CCCCC4CCC23)n[nH]1,0.001712594,positive,11.716053,32.790695
Train: Pos 144,C=C1C(=O)OC2CCC3CCCC3CC12,0.001710999,positive,-0.10956359,40.37169
Train: Pos 145,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,0.001705379,positive,5.268148,35.57596
Train: Pos 146,O=C1CC(c2cccc(OCCCCN3N=C(c4cccn5nccc45)CCC3=O)c2)=NN1,0.00170519,positive,-11.568418,58.451347
Train: Pos 147,C=C1CCCCC1CCC=CCOc1ccc2ccc(=O)oc2c1,0.001699834,positive,29.683746,27.540937
Train: Pos 148,O=C(Nc1ccnn1-c1ccnnc1)NC1CCC(Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,0.00169815,positive,71.93627,-2.475
Train: Pos 149,O=C(Nc1ccnn1-c1cc[nH]n1)NC1CCC(Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,0.00169492,positive,71.844864,-1.9675018
Train: Pos 150,O=C(C=Cc1ccco1)NC(=S)Nc1ccc2c(c1)oc1ccccc12,0.001685839,positive,-3.2006536,-54.1361
Train: Pos 151,O=C1CC(c2ccc(OC3CCCCO3)cc2)Oc2ccccc21,0.001685618,positive,21.808395,19.951996
Train: Pos 152,O=C(Nc1ccccc1OC1CCNCC1)c1cccc(-c2ccc3ncncc3c2)c1,0.001685397,positive,-9.033156,-63.582558
Train: Pos 153,C=C1CCCCC1,0.001684552,positive,1.9922503,20.656301
Train: Pos 154,O=C(Nc1ccccc1)c1ccc(CNCC2CCNC(=O)c3cccc(NS(=O)(=O)c4ccccc4)c3O2)cc1,0.001683833,positive,24.560656,-53.52418
Train: Pos 155,O=C1NC(=S)SC1=CC=Cc1ccco1,0.001682225,positive,-19.412172,35.266922
Train: Pos 156,O=C1CC=C2CC2CCC2OC2C2CCCC12,0.001677902,positive,2.9786732,16.866262
Train: Pos 157,O=C1C=CC(C2CCC3C2CCC2C4CCCCC4CCC23)O1,0.001676705,positive,12.077562,31.67711
Train: Pos 158,O=C(NN1C(=O)C(=Cc2ccccc2)SC1=S)c1ccccc1,0.001675766,positive,36.651775,-2.1543105
Train: Pos 159,C(=CC1c2ccccc2OC(c2ccccc2)C1Cc1ccccc1)c1ccccc1,0.001674686,positive,14.587159,-3.7448313
Train: Pos 160,O=C(C=Cc1ccc(OCCN2CCOCC2)cc1)Nc1ccccc1,0.001673731,positive,5.9367094,-11.333556
Train: Pos 161,O=C1CC(=O)C2=C(C1)OC1(CCCC=CCC3CCC31)CC2,0.001673358,positive,9.823121,37.926266
Train: Pos 162,O=C1C(=Cc2ccccc2)SC(=S)N1Nc1ccccc1,0.001672518,positive,36.96242,-1.4457718
Train: Pos 163,O=c1c(-c2ccc3c(c2)C=CCO3)coc2cc3c(cc12)CCCO3,0.001672414,positive,6.07287,16.013979
Train: Pos 164,O=C(C=Cc1ccc(CNC(=O)C(=O)Nc2ccccc2)o1)NCc1cccnc1,0.001665602,positive,5.7055464,-26.740921
Train: Pos 165,O=C1C=C(C2CCC3C2CCC2C4CCCC=C4CCC23)CO1,0.001663274,positive,11.695748,27.052708
