ID,scaffold_smiles,mean_shap,effect
Train: Pos 138,O=c1ccc2cc(OC3CCCCO3)ccc2o1,0.001729792,positive
Train: Pos 139,c1ccc(Oc2cccc(C3Oc4cccc(Oc5ccccc5)c4OC3COc3ccccc3-c3ccccc3)c2)cc1,0.001720124,positive
Train: Pos 140,C1=C2CC(OC3OCC(OC4CCC(OC5CCCCO5)CO4)CC3OC3CCCCO3)CCC2C2CCC3c4cc(CCCCOC5CCCCO5)oc4CC3C2C1,0.001719651,positive
Train: Pos 141,O=C(OC1C2OCC3CCCC(C4CCOC5CC(c6ccoc6)C=C5C41)C32)c1ccccc1,0.001716624,positive
Train: Pos 142,O=C(Nc1ccnn1-c1ccccc1)NC1CCC(Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,0.001715999,positive
Train: Pos 143,c1cc(C2CCC3C2CCC2C4CCCCC4CCC23)n[nH]1,0.001712594,positive
Train: Pos 144,C=C1C(=O)OC2CCC3CCCC3CC12,0.001710999,positive
Train: Pos 145,O=C1C=CC2C(=C1)CCC1C3CCCC3CCC21,0.001705379,positive
Train: Pos 146,O=C1CC(c2cccc(OCCCCN3N=C(c4cccn5nccc45)CCC3=O)c2)=NN1,0.00170519,positive
Train: Pos 147,C=C1CCCCC1CCC=CCOc1ccc2ccc(=O)oc2c1,0.001699834,positive
Train: Pos 148,O=C(Nc1ccnn1-c1ccnnc1)NC1CCC(Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,0.00169815,positive
Train: Pos 149,O=C(Nc1ccnn1-c1cc[nH]n1)NC1CCC(Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,0.00169492,positive
Train: Pos 150,O=C(C=Cc1ccco1)NC(=S)Nc1ccc2c(c1)oc1ccccc12,0.001685839,positive
Train: Pos 151,O=C1CC(c2ccc(OC3CCCCO3)cc2)Oc2ccccc21,0.001685618,positive
Train: Pos 152,O=C(Nc1ccccc1OC1CCNCC1)c1cccc(-c2ccc3ncncc3c2)c1,0.001685397,positive
Train: Pos 153,C=C1CCCCC1,0.001684552,positive
Train: Pos 154,O=C(Nc1ccccc1)c1ccc(CNCC2CCNC(=O)c3cccc(NS(=O)(=O)c4ccccc4)c3O2)cc1,0.001683833,positive
Train: Pos 155,O=C1NC(=S)SC1=CC=Cc1ccco1,0.001682225,positive
Train: Pos 156,O=C1CC=C2CC2CCC2OC2C2CCCC12,0.001677902,positive
Train: Pos 157,O=C1C=CC(C2CCC3C2CCC2C4CCCCC4CCC23)O1,0.001676705,positive
Train: Pos 158,O=C(NN1C(=O)C(=Cc2ccccc2)SC1=S)c1ccccc1,0.001675766,positive
Train: Pos 159,C(=CC1c2ccccc2OC(c2ccccc2)C1Cc1ccccc1)c1ccccc1,0.001674686,positive
Train: Pos 160,O=C(C=Cc1ccc(OCCN2CCOCC2)cc1)Nc1ccccc1,0.001673731,positive
Train: Pos 161,O=C1CC(=O)C2=C(C1)OC1(CCCC=CCC3CCC31)CC2,0.001673358,positive
Train: Pos 162,O=C1C(=Cc2ccccc2)SC(=S)N1Nc1ccccc1,0.001672518,positive
Train: Pos 163,O=c1c(-c2ccc3c(c2)C=CCO3)coc2cc3c(cc12)CCCO3,0.001672414,positive
Train: Pos 164,O=C(C=Cc1ccc(CNC(=O)C(=O)Nc2ccccc2)o1)NCc1cccnc1,0.001665602,positive
Train: Pos 165,O=C1C=C(C2CCC3C2CCC2C4CCCC=C4CCC23)CO1,0.001663274,positive
