ID,scaffold_smiles,mean_shap,effect,umap_x,umap_y
Train: Pos 148,O=C(Nc1ccnn1-c1ccnnc1)NC1CCC(Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,0.00169815,positive,0.2311988,4.6294937
Train: Pos 149,O=C(Nc1ccnn1-c1cc[nH]n1)NC1CCC(Oc2ccc3nnc(N4CCCCC4)n3c2)c2ccccc21,0.00169492,positive,0.22287913,4.621233
Train: Pos 150,O=C(C=Cc1ccco1)NC(=S)Nc1ccc2c(c1)oc1ccccc12,0.001685839,positive,0.007719032,-5.871266
Train: Pos 151,O=C1CC(c2ccc(OC3CCCCO3)cc2)Oc2ccccc21,0.001685618,positive,-3.2791204,-6.525655
Train: Pos 152,O=C(Nc1ccccc1OC1CCNCC1)c1cccc(-c2ccc3ncncc3c2)c1,0.001685397,positive,0.89036304,-4.4573736
Train: Pos 153,C=C1CCCCC1,0.001684552,positive,-4.5083847,-6.872866
Train: Pos 154,O=C(Nc1ccccc1)c1ccc(CNCC2CCNC(=O)c3cccc(NS(=O)(=O)c4ccccc4)c3O2)cc1,0.001683833,positive,0.17561825,-6.352602
Train: Pos 155,O=C1NC(=S)SC1=CC=Cc1ccco1,0.001682225,positive,-3.72728,-8.18253
Train: Pos 156,O=C1CC=C2CC2CCC2OC2C2CCCC12,0.001677902,positive,-4.2867584,-7.3919687
Train: Pos 157,O=C1C=CC(C2CCC3C2CCC2C4CCCCC4CCC23)O1,0.001676705,positive,-5.0803123,-6.400649
Train: Pos 158,O=C(NN1C(=O)C(=Cc2ccccc2)SC1=S)c1ccccc1,0.001675766,positive,-2.1324348,-10.859286
Train: Pos 159,C(=CC1c2ccccc2OC(c2ccccc2)C1Cc1ccccc1)c1ccccc1,0.001674686,positive,-1.1697979,-8.966908
Train: Pos 160,O=C(C=Cc1ccc(OCCN2CCOCC2)cc1)Nc1ccccc1,0.001673731,positive,-0.45282918,-8.689426
Train: Pos 161,O=C1CC(=O)C2=C(C1)OC1(CCCC=CCC3CCC31)CC2,0.001673358,positive,-4.4641924,-7.2919784
Train: Pos 162,O=C1C(=Cc2ccccc2)SC(=S)N1Nc1ccccc1,0.001672518,positive,-2.149044,-10.991638
Train: Pos 163,O=c1c(-c2ccc3c(c2)C=CCO3)coc2cc3c(cc12)CCCO3,0.001672414,positive,-4.268593,-7.2586994
Train: Pos 164,O=C(C=Cc1ccc(CNC(=O)C(=O)Nc2ccccc2)o1)NCc1cccnc1,0.001665602,positive,-0.90632266,-6.5547557
Train: Pos 165,O=C1C=C(C2CCC3C2CCC2C4CCCC=C4CCC23)CO1,0.001663274,positive,-4.4594564,-7.2963886
Train: Pos 166,O=C(COC(=O)C=Cc1ccccc1)Nc1ccccc1,0.001663068,positive,0.104456596,-6.0093284
Train: Pos 167,C=C1c2ccoc2CC2C1CCC1CCCCC12,0.001658134,positive,-4.357686,-6.7924047
Train: Pos 168,O=C(Nc1ccnn1-c1cccc(OCCN2CCOCC2)c1)NC1CCC(Oc2ccc3nnc(C4CCCCC4)n3c2)c2ccccc21,0.001657746,positive,0.19141449,4.5845523
