Index,canonical_smiles
3892,COc1ccc(C(=O)NNC(=S)NC(=O)c2ccco2)cc1
4186,Cc1ccc(C(=O)NNC(=S)NC(=O)c2ccco2)cc1
4328,O=C(NNC(=S)NC(=O)c1ccco1)c1ccc(F)cc1
3093,Clc1cccc(Nc2nc(-c3ccncc3)nc3ccccc23)c1
9007,Cc1cccc(C(=O)NC2CCN(CC(=O)N3CCOCC3)CC2)c1
4446,O=C1C(=O)N(CCCc2ccccc2)c2ccccc21
2232,CC(=O)c1cccc(NC(=O)Nc2cccnc2)c1
10921,COC(=O)c1ccccc1NC(=O)Nc1cccnc1
8827,CC(=O)N1CCN(c2ccc(NCc3ccc(C)cc3)cc2)CC1
12407,CC(=O)N1CCN(c2ccc(NCc3ccccc3)cc2)CC1
8569,CCCN(CC(=O)Nc1ccccc1C)C(=O)CSc1ccccc1C
13837,CCCNC(=O)Cc1ccsc1
9152,O=C(CCCc1c[nH]c2ccccc12)N1CCOCC1
1014,CN(Cc1ccccc1)C(=O)c1cc(-c2ccc(Br)cc2)on1
8539,O=C(COC(=O)c1cccc(Cl)c1)NC1CCCCCCC1
15173,O=C(Nc1ccc(S(=O)(=O)NCc2ccco2)cc1)c1ccncc1
15245,O=C(Cc1cccs1)Nc1ccc(-c2nc3ccccc3[nH]2)cc1
12446,O=C(Cc1cccs1)Nc1ccc(C(=O)O)cc1
12688,COc1cccc(NC(=O)Cc2cccs2)c1
15843,O=C(Cc1cccs1)Nc1ccc(Cl)cc1
9355,O=C(Oc1ccc2ccccc2c1Cl)N1CCCC1
1620,c1ccc(-c2ncc3c(ccc4ccccc43)n2)cc1
9145,O=C(Oc1ccccc1)c1ccc2nccnc2c1
15580,O=C(Oc1ccc(Cl)cc1)c1ccc2nccnc2c1
4912,C/C(=N\NC(=O)c1ccccc1)c1ccc2c(c1)OCO2
2255,CC(=O)c1c(C)n(-c2ccccc2)c2ccc(O)cc12
199,Cc1ccc(OCC(=O)N2CCCCCC2)c(C)c1
16,COc1ccccc1Nc1ccc(N)cc1
14017,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl
15127,Cc1cccc(Nc2ccccc2)c1
15242,CC(C)(C)CC(=O)Nc1ccc(Nc2ccccc2)cc1
10855,c1ccc2c(-n3cccn3)cccc2c1
15032,COc1ccc(-n2c(C)nc(=O)c(-c3ccccc3)c2C)cc1
2806,Cc1ccc(NC(=O)Nc2nnc(-c3ccncc3)s2)cc1
2958,COc1ccc(NC(=O)Nc2nnc(-c3ccncc3)s2)cc1
14782,Cc1ccc(NS(=O)(=O)c2cc(C(=O)Nc3ccccc3C(=O)O)ccc2Br)cc1
1512,Fc1ccc(CNc2nc(-c3ccccc3)nc3ccccc23)cc1
175,CCOC(=O)C1CCN(C(=O)c2ccc(Cl)c(Cl)c2)CC1
272,O=C(O)CCC(=O)Nc1ccc(C(=O)N2CCCCC2)cc1
8839,COC(=O)C1CCN(C(=O)c2cc(OC)c(OC)c(OC)c2)CC1
12500,O=C(O)CCCC(=O)Nc1ccc(N2CCCC2)cc1
8835,O=C(CCC1CCCC1)N1CCN(C(=O)c2cccnc2)CC1
13656,COc1cccc(C(=O)NCC(=O)N2CCC(C)CC2)c1
15864,O=C(NCC(=O)N1CCCCC1)c1ccc(Cl)cc1Cl
8888,O=C(COC(=O)c1ccccn1)Nc1cccc(Cl)c1Cl
498,Cc1ccc(NC(=O)c2ccc3c(c2)OCCO3)nc1
1445,COCCCNC(=O)COc1ccc(S(=O)(=O)NCc2ccccc2)cc1Cl
4829,COc1ccc(S(=O)(=O)NCc2ccccc2Cl)cc1OC
15826,CCOc1cc(S(=O)(=O)NCc2ccccc2)ccc1F
5098,O=C(CCc1ccc(OC2CCCCC2)cc1)N1CCCC1
10143,CC(C)C(=O)Nc1ccc(C(=O)N2CCN(C(=O)c3ccco3)CC2)cc1
221,COc1ccc(OC(=O)CCCN2C(=O)c3ccccc3C2=O)cc1
9017,O=C(Nc1ncc(Cc2ccccc2)s1)c1cccs1
11111,CCn1c(SCC(=O)NCc2ccccc2)nc2ccccc2c1=O
1090,CN1CCN(S(=O)(=O)c2ccc(NC(=O)c3ccc(F)cc3)cc2)CC1
478,Cc1ccnc(NC(=O)c2cc3ccccc3o2)c1
956,COc1ccc(-n2c(COc3ccccc3)nnc2SCC(N)=O)cc1
9850,CS(=O)(=O)N1CCN(C(=O)c2ccncc2)CC1
1067,CCOc1ccccc1C(=O)Nc1ccc(-c2nnc(-c3ccc(C)cc3)o2)cc1
11437,O=S(=O)(NCCc1ccccc1)c1cccc(S(=O)(=O)N2CCOCC2)c1
26,O=C(Nc1cccc(F)c1)Nc1ccc2c(c1)CCC2
14671,NS(=O)(=O)c1ccc(CN2C(=O)c3cccc4cccc(c34)C2=O)cc1
15813,O=C1c2cccc3c(O)ccc(c23)C(=O)N1Cc1ccccc1
4852,Cc1ccc2oc(-c3ccccc3)nc2c1
8775,CC(=O)Nc1ccc2oc(-c3ccccc3Br)nc2c1
8927,O=C(Nc1ccc2c(c1)oc1ccccc12)c1cccnc1
13909,NS(=O)(=O)c1ccc(CN2C(=O)CCC2=O)cc1
10694,O=C(Nc1cnc2ccccc2c1)N1CCOCC1
15243,Cc1cc(Cl)ccc1NC(=S)NCCC(c1ccccc1)c1ccccc1
7982,COc1cc(O)cc(CCc2ccc(OC)c(O)c2)c1
8182,COc1cc(CCc2cccc(O)c2)cc(OC)c1
8183,COc1cc(O)cc(CCc2cccc(O)c2)c1
15505,CCCN(CC1CC1)C(=O)Nc1ccccc1C
9422,COC(=O)c1cc(-c2ccc(OC)c(OC)c2)on1
4573,Fc1ccc(CNc2nc(-c3cccnc3)nc3ccccc23)cc1
2980,O=C(CCl)N(Cc1ccccc1)c1ccccc1
4928,Fc1ccc(NCc2ccccc2F)cc1Cl
13287,COc1ccc(CNc2ccc(S(N)(=O)=O)cc2)c(OC)c1OC
927,NC(=O)c1ccc(-c2ccc(Br)cc2)o1
1235,O=C(O)c1ccc(-c2ccc(Cl)cc2Cl)o1
10455,CC(=O)Nc1ccccc1-c1ccc(C)o1
13378,O=C(O)c1ccc(-c2ccccc2Cl)o1
2173,O=C(NCCN1CCN(c2ccccc2)CC1)c1cccc(Br)c1
15602,O=C(Nc1ccc2oc(=O)ccc2c1)c1ccco1
10218,Cn1cnnc1SCc1ccc(C(=O)O)cc1
8612,CCOc1ccc(S(=O)(=O)N2CCN(C(=O)COc3ccc(Br)cc3)CC2)cc1
8658,CCOc1ccc(OCC(=O)N2CCN(S(=O)(=O)c3ccccc3)CC2)cc1
9776,O=C(CCN1CCN(c2ccccc2)CC1)Nc1nccs1
905,O=C(Nc1ccc(F)cc1)N1CCOCC1
9336,COC(=O)c1ccc(NC(=O)N2CCOCC2)cc1
765,COc1ccccc1-c1ccc(C(=O)NCCc2c(C)[nH]c3ccccc23)cc1
10072,O=C(CN1CCCCC1)Nc1ccc(S(=O)(=O)N2CCCCCC2)cc1
9431,Cc1ccc(O)c(NC(=O)c2cccc(NC(=O)c3ccco3)c2)c1
8982,Cc1cc(NS(=O)(=O)c2ccc(NC(=O)CCc3ccccc3)cc2)no1
1406,CN(C(=S)Nc1ccc(Oc2ccccc2)cc1)c1ccc(O)cc1
8613,NS(=O)(=O)c1ccc(CCNC(=O)C2CCN(C(=O)Nc3ccccc3)CC2)cc1
120,Cc1ccc(CCNC(=O)Cn2cccc2)cc1
10692,Cc1cc(C)nc(N2CCC(C(=O)NCCc3ccccc3)CC2)n1
12868,c1ccc2c(-c3nc4ncccc4o3)cccc2c1
13278,Cc1cccc(-c2noc(CCC(=O)NCc3ccccc3)n2)c1
1353,CCOc1ccc(NC(=O)/C=C/c2ccc(OC)cc2)c([N+](=O)[O-])c1
1521,COc1ccc(/C=C/C(=O)Nc2ccccc2C(=O)O)cc1OC
2049,CCOc1ccc(NC(=O)c2ccc(NC(=O)c3ccc(CN4CCOCC4)cc3)cc2)cc1
15748,CS(=O)(=O)N1CCN(c2ccccc2NC(=O)c2cccnc2)CC1
10076,COc1ccccc1NC(=O)CSc1nnc(C)o1
4958,O=C(O)C1CCN(C(=O)NCc2ccc(Cl)cc2Cl)CC1
5597,NC(=O)C1CCN(C(=O)NCc2ccc(Cl)cc2Cl)CC1
518,CC(=O)NCCc1ccc(C(=O)COC(=O)C2CCCCC2)cc1
10394,O=C(c1ccc(F)cc1)C1CCN(C(=O)c2ccncc2)CC1
1262,COc1cc(CNCc2ccco2)ccc1OCc1ccccc1
13430,COc1ccccc1CNC(=O)COC(=O)c1cnccn1
4,COc1ccc(Cl)c(NC(=O)NCCN2CCN(c3ccccc3)CC2)c1
12014,O=C(CCN1CCN(CCO)CC1)Nc1ccc(OCc2ccccc2)cc1
1548,CCCOc1ccc(-c2nnc(-c3ccncc3)o2)cc1
10760,CCOc1ccc(-c2nnc(-c3ccncc3)o2)cc1
1341,Cc1ccc(SCCC(=O)Nc2ccccc2C(=O)NC(C)C)cc1
1391,O=C(Nc1nnc(SCc2ccccc2)s1)c1cccc([N+](=O)[O-])c1
1123,COC(=O)CCC(=O)Nc1nc(-c2ccccc2)cs1
11115,O=C(O)CCCC(=O)Nc1nc(-c2ccccc2)cs1
183,O=C(Nc1ccc2c(c1)OCO2)c1cccc(F)c1
12137,CC(C)C(=O)Nc1cccc(C(=O)Nc2ccc3c(c2)OCO3)c1
