compound_id,InChIKey,canonical_smiles,scaffold,exact_scaffold_hit,similar_scaffold_hit,Note
30074,XCKYBRFHABGHMT-UHFFFAOYSA-N,C=CC(C)(C)c1c(O)cc(O)c2c(=O)c(O)c(-c3cc(O)c(O)c(CC=C(C)C)c3)oc12,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
30075,WGWGXVOAFMLMJZ-UHFFFAOYSA-N,COc1cc2oc(-c3ccc(O)c(O)c3)c(OC)c(=O)c2c(O)c1O,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
30084,HKKPHUAEOHCSKC-UHFFFAOYSA-N,CC(C)=CCc1c(O)c(CC=C(C)C)c2oc(-c3ccc(O)cc3)c(O)c(=O)c2c1O,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
30096,KNDDWJXDRIODRW-UHFFFAOYSA-N,C=C(C)C(CC=C(C)C)Cc1c(O)cc(OC)c2c(=O)c(O)c(-c3ccc(O)cc3O)oc12,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
30112,ZEECPORNNVVCTB-UHFFFAOYSA-N,COc1cc(-c2oc3cc(O)c(O)c(O)c3c(=O)c2OC)ccc1O,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
30190,CTALFFOVOLJORS-UHFFFAOYSA-N,COc1cc(C2CC(=O)c3c(O)cc(O)cc3O2)cc(OC)c1OC,O=C1CC(c2ccccc2)Oc2ccccc21,TRUE,TRUE,Exact
30192,WARHVXWFMMHDLD-UHFFFAOYSA-N,COc1cc(O)c(-c2cc(=O)c3c(O)c(OC)c(OC)c(OC)c3o2)cc1O,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
30194,XGOWVPRWNRKCSL-UHFFFAOYSA-N,COc1ccc(-c2cc(=O)c3c(OC)c(OC)c(O)c(OC)c3o2)cc1OC,O=c1cc(-c2ccccc2)oc2ccccc12,TRUE,TRUE,Exact
30199,HSJZJYCOXHKDBJ-UHFFFAOYSA-N,COc1cc(OCC=C(C)C)c2ccc(=O)oc2c1,O=c1ccc2ccccc2o1,TRUE,TRUE,Exact
30221,RSECXOGKRPREIU-UHFFFAOYSA-N,CCc1ncc(OC)c2c1[nH]c1c(OC)cccc12,c1ccc2c(c1)[nH]c1cnccc12,TRUE,TRUE,Exact
30236,QAEKVSCYVOULAT-UHFFFAOYSA-N,C=CC(C)(C)c1cc(-c2coc3c(O)cc(O)cc3c2=O)c(O)cc1O,O=c1c(-c2ccccc2)coc2ccccc12,TRUE,TRUE,Exact
30238,DDLPIQXHEKZHQX-UHFFFAOYSA-N,COc1ccc(-c2coc3c(CC=C(C)C)c(O)cc(O)c3c2=O)cc1,O=c1c(-c2ccccc2)coc2ccccc12,TRUE,TRUE,Exact
