canonical_smiles,prob_1,prob_2,prob_3,prob_4,prob_5,prob_6,prob_avg,ID,lipinski_rule_of_five_violations,sa_score,y_pred
COc1ccc(CCC(=O)c2c(O)cc(OC)cc2OC)cc1,0.9999962,1.0,0.999996,0.9180784,0.68830365,0.9169752,0.9205582416666666,19995,0,1.954077994,1
COc1cc(OC)c(OC)cc1C=O,0.9999905,0.9999997,0.99991465,0.8382823,0.79850847,0.83534455,0.9120066950000001,20178,0,1.800761557,1
O=C(O)c1cc(O)ccc1O,0.9999426,0.99996734,0.9516609,0.6711766,0.73700863,0.86542654,0.8708637683333332,20283,0,1.80404649,1
COc1cc(C(=O)O)ccc1O,0.9998892,0.6818569,0.9912658,0.8269593,0.6214432,0.8119406,0.8222258333333333,20317,0,1.542219446,1
COc1ccc(CCOC(=O)c2ccc(O)c(OC)c2)cc1,0.9971052,0.99881953,0.98357636,0.8537709,0.7239433,0.750516,0.8846218816666668,20334,0,1.726294077,1
Cc1cccc(O)c1C(=O)O,0.9710517,0.51430124,0.95093036,0.5361176,0.50175285,0.7888315,0.7104975416666667,20616,0,1.830086808,1
COc1cccc(CCc2cc(OC)cc(OC)c2)c1,0.99999857,1.0,0.99980956,0.97620136,0.79362273,0.9087724,0.94640077,20797,0,1.69938786,1
COc1ccc(O)c2ccccc12,0.9985778,0.9999979,0.9457994,0.8256195,0.8311221,0.785474,0.8977651166666666,20874,0,1.520744532,1
COC(=O)c1ccc(OC)c(OC)c1O,0.99639463,0.99954224,0.9988875,0.5431133,0.55584115,0.5918414,0.7809367033333333,21193,0,1.856720042,1
OC(=NCCc1ccc(O)cc1)c1ccccc1,0.9999957,1.0,0.99993986,0.87455416,0.84768564,0.72591543,0.9080151316666666,21388,0,1.967758621,1
COc1cc(C(C)=O)ccc1O,0.9999878,0.99996215,0.9979016,0.90933746,0.79199857,0.83161384,0.9218002366666668,21478,0,1.579093484,1
COc1ccc(OC)c(-c2cc(=O)c3ccccc3o2)c1,0.99999523,0.66520494,0.9999976,0.99224454,0.83557177,0.95370215,0.9077860383333333,22364,0,1.892095159,1
CC(=O)c1cc(O)ccc1O,0.9999985,0.99999887,0.99702317,0.9541688,0.806488,0.9076815,0.9442264733333333,22902,0,1.905853917,1
O=C(CCc1ccc(O)cc1O)c1ccc(O)cc1,0.9999965,1.0,1.0,0.9406987,0.8553918,0.9766464,0.9621222333333334,22908,0,1.969640816,1
CCC(=O)c1ccc(O)c(OC)c1,0.99988204,0.9835203,0.9998613,0.8560838,0.7194896,0.7223421,0.8801965233333333,22929,0,1.735583486,1
COc1ccc2oc(CCc3ccccc3)cc(=O)c2c1,0.9767445,0.9988759,0.999666,0.8632534,0.6010101,0.90111953,0.8901115716666667,23258,0,1.917287252,1
COc1ccc(-[13c]2coc3[13cH]c(O)ccc3[13c]2=O)cc1,0.9999302,0.9999947,0.99999565,0.9795356,0.9046037,0.92969674,0.9689594316666666,23282,0,1.952252637,1
COC(=O)CCc1ccc(O)c(OC)c1,0.9999793,0.99584913,0.9989109,0.8958536,0.672153,0.84789985,0.9017742966666668,23284,0,1.719229929,1
