rgroup_label,clean_smi,mean_shap,effect
R2,CNS(=O)(=O),0.00016167738586795,Positive
R2,OCCOCC,0.00013369519165230001,Positive
R2,CS(=O)(=O)CC,0.0001472908541848,Positive
R7,CC(C)CCCC(C),0.00016185150318755,Positive
R4,CC(C)CNC(=O),6.959544481035e-05,Positive
R2,CSCCCO,0.00016537575486634998,Positive
R2,O=C(CO),0.00015332915775885,Positive
R1,CC(C)(O)C(O)C,0.0001639908837993,Positive
R6,CCC(=O)NCCO,0.00014020177429499998,Positive
R3,COC(=O)/C=C/C(=O),0.00017052682794025,Positive
R3,NNC(=O),0.00015464170537924998,Positive
R3,FC(F)(F)O,0.0001292864152413,Positive
R7,OC[C@H](O)CO,7.403451905704999e-05,Positive
R2,C=C(C)C(O)CC/C(C)=C/CO,0.00015398824304705002,Positive
R6,CCOC(=O)/C=C(\C)S,0.0001151991398841,Positive
R4,CC(=O).O,0.00011965910091375,Positive
R4,CCC(C#C)N(O)C(N)=O,0.0001658122244987,Positive
R5,CCCCCCNC(=O)N,0.00013180581568215,Positive
R4,O=C(NCCO),8.675999670625e-05,Positive
R2,CC(=O)OCC(=O).O,0.0001607943867463,Positive
R6,CN(N)CC,0.0001463396031519,Positive
R5,FC(F)O,0.0001609822127254,Positive
R2,CCCCCCS,0.00013736506281719998,Positive
R4,O=C(O)CCC(=O)OCC(=O).O,0.00014495695520990001,Positive
R3,CC(C)CCS,0.00016789188682945,Positive
R3,COCC,0.0001347865644125,Positive
R5,CN(N)CC(O),0.0001619719310964,Positive
R1,C/C(C=O)=C\C,0.0001530785461568,Positive
R1,CC(C)CNC(=O),7.23084773226e-05,Positive
R3,CCCCCC(=O)N/N=C(\C),0.0001794043646919,Positive
R1,CC(C)C(=O)C(=O),0.00016312206824625,Positive
R6,FCCO,0.00015773738131095002,Positive
R6,O=C(CCl),0.00015993730495245,Positive
R5,CC(C)=CCC/C(C)=C/C,0.00014772772023905,Positive
R1,CS(=O)(=O),0.00014446347452895,Positive
R5,CCN(CC)CC(=O)N,0.0001655621717836,Positive
R4,C[C@@H](C#C)N(O)C(N)=O,0.00014728002358834998,Positive
R5,O=C,0.00016815724163685,Positive
R5,CCCCNC(=O)O,0.00013132453645765,Positive
R3,N#CC(C#N)=NN,0.00013865140400785,Positive
R6,CC(C)(C)C(=O)NC(=S)NNC(=O)CO,0.00015138097705885,Positive
R6,COC(C/C=C/C(=O)[C@H](C)OC)OC,0.00012291558732305,Positive
R1,C[C@H](C#C)N(O)C(N)=O,0.00013855607116875,Positive
R6,CC(C)N=C(NS(=O)(=O))C(Cl)(Cl)Cl,0.00016803795922175,Positive
R2,NC(=S),0.0001581803916085,Positive
R6,CCCNC(=S)N,0.00012799762103785,Positive
R3,CCCCOC(=O)N,0.0001389083067696,Positive
R7,CCOC(=O)/C=C/C(=O)N,0.0001604138894329,Positive
R3,CC(C)OCCCNC(=O)CNC(=O),0.0001583013306324,Positive
R5,CN(N)CC,0.00013923327058455,Positive
R2,CS(=O)(=O)CC(=O),0.00017559094194185,Positive
R7,O=C(O),0.00013788481886825002,Positive
R8,CS(=O)(=O),0.000132337011251,Positive
R4,O=C,0.00012513404012385,Positive
R6,OCCO,0.00015926499579505,Positive
R7,CCCCCCCC,0.00013977285332255002,Positive
R5,CCN(CC)C,0.0001429298392427,Positive
R1,CCO[C@H](C)C(C)(C)O,0.00016607389065625,Positive
R4,C=C(C)[C@@H](O)C,0.00012935911046145,Positive
R8,C=CC(C)(C),0.0001477877078275,Positive
R1,CN(C)C(=O),0.0001386098625546,Positive
R2,N#C/C(C(=O)N)=C(/N)C(Cl)(Cl)Cl,0.00015541103333639999,Positive
R3,CN(S(C)(=O)=O),0.00014083326066825,Positive
R4,COCCCNC(=S),0.0001523237921858,Positive
R4,COCO,0.0001453545898259,Positive
R3,N#C/C(=N/N)C(N)=S,0.00013809908941555,Positive
R2,CCOCCO,0.0001121416109767,Positive
R3,CC(C)C(Cl)=NOC(=O)N,0.00014060331333955,Positive
R1,CCC(C)(O),0.00013931861515015,Positive
R6,OC(C(F)(F)F)(C(F)(F)F),0.00010597156185995001,Positive
R6,O=C,0.0001482495642212,Positive
R10,CC(C)=CC,0.0001404771458185,Positive
R1,CC(C#C)N(O)C(N)=O,0.00012567610662245,Positive
R3,N#CS,0.0001420042865695,Positive
R1,CCOC(C)(C)C(O)C,0.0001477508884104,Positive
R7,CSC(=O)NC,0.0001274277973798,Positive
R5,CSC(SC)=C(C#N)C(=O),0.00014954884612925,Positive
R3,O=C,0.0001394698745635,Positive
R6,CCCCCCCCCCCC(=O),0.0001401039753096,Positive
R3,O=C(CCO),0.00015293425122175,Positive
R2,O=C(CO).O,0.0001531419266713,Positive
R6,N=C(N)SC,0.00017240069854115002,Positive
R1,CCCCCCCCCCCCC,0.00012376806765975,Positive
R7,CC(=O),0.00011276852135405001,Positive
R1,CC(C)=CCC/C(C)=C/C,0.00018059717154005002,Positive
R6,CC(C)CN=C(NS(=O)(=O))C(Cl)(Cl)Cl,0.00015862241040355,Positive
R6,COC(=O)/C=C/S(=O)(=O),0.00013729245515019999,Positive
R6,CCCCCCCCNC(=O),8.794742891555e-05,Positive
R5,C=CCN(CC=C)C(=O)N,0.00013382066365645,Positive
R7,S=C=NC,0.0001105082634848,Positive
R4,CCCCCCCC(=O)OCC(=O).O,0.0001753849736907,Positive
R4,CNS(=O)(=O),0.0001425882129215,Positive
R3,CC(C)S(=O)(=O)N,0.00014796428967034998,Positive
R1,CCCCCCCCCCC,0.00010600613961,Positive
R3,CCOCC,0.0001381572912848,Positive
R9,CC(C)=CC,0.0001559521042469,Positive
R3,CCCCCCNC(=O)O,0.0001481235681194,Positive
R5,CS(=O)(=O)NCCO,0.0001507349358498,Positive
R5,CC(NC(=O)CO)C(=O)O,0.0001485775920259,Positive
R3,CS(=O)(=O)N(S(C)(=O)=O),0.0001681472399572,Positive
R6,CCNC(=S)NNC(=O)C,0.00015421361893735,Positive
R3,CN(CCO)CCCCCCCNC(=O),0.000146999089734,Positive
R4,CC(C)=CC,0.00015591243547655,Positive
R2,C/C(=C\CO)CC/C=C(\C)CCC(O)C(C)(C)O,0.000139306582182,Positive
R1,C=C[C@](C)(O)CC,0.000139012664288,Positive
R7,CCCCCCC,0.00014526358428755,Positive
R4,CC(C)C(C#C)N(O)C(N)=O,0.0001485326001086,Positive
R3,N#CC(C#N)=C,0.0001358404180188,Positive
R7,OCCO,0.00013390162858595,Positive
R1,C=C(C)C(O)C(OCC),0.0001792619476548,Positive
R3,FC(F)O,0.0001556340961485,Positive
R3,CN(N)CC,0.0001577139737804,Positive
R3,CCCCCCCC/C=C\CCCCCCCC(=O)NCC,0.00016549817514335,Positive
R8,CC(C)=CC,0.00015358706241115,Positive
R4,CC(=O)O.CC(=O),0.00014310636463920001,Positive
R5,O=S(=O)(N)C(F)(F)F,0.00020866358217635,Positive
R2,CCN(CC)C(=O)N,0.0001357712147759,Positive
R5,C=CCN=C(NC#N)SCC(=O),0.00017630367110915,Positive
R2,CCCCNC(=O)N,0.0001466542153847,Positive
R2,CC(=O).O,0.0001221912077998,Positive
R2,CC(=O)OCC(=O).CCCC(=O)O,0.0001489924850607,Positive
R3,CC(C#C)N(O)C(N)=O,0.00011536365180380001,Positive
R4,CCCC(=O)O.O=C(CO),0.0001354673822884,Positive
R2,CC(C)C(=O),0.00016295929986655,Positive
R1,CCCCCCCCCCCCCCC,0.00013468859756395,Positive
R5,O=C(O)CCCO,0.0001346522512915,Positive
R3,CCOC(=O)/C=C/C(=O)N,0.0001619200093733,Positive
R2,CC(C)=CC,0.0001360607063077,Positive
R2,C=CCO,0.00014356444855895,Positive
R2,CCCCCCCCCCCCCCCCCC(=O)OC,0.00013187240617045,Positive
R2,C#CCOCC,0.00014142217471695,Positive
R3,N#CSCC(=O),0.00015382462415764999,Positive
R3,CC(C)(C)NC(=O)NC(=O)COC(=O)C,0.00014288612788605,Positive
R1,CC(C)C(=O)C,0.0001470200125481,Positive
R3,CC(=O),0.00012317103250355,Positive
R2,COCCCO,0.00014198595144255,Positive
R5,CC(=O),0.0001073373554992,Positive
R4,CCCCCCCCCCCCC,0.0001187896203801,Positive
R6,OCCCO,8.91172052457e-05,Positive
R1,CNC(=S)N=N,0.00013482628879389998,Positive
R2,O=C(NCCO),5.66561869376e-05,Positive
R6,CS(=O)(=O)NCCSC,0.0001037157151282,Positive
R1,FC(F)(F)C(O)C(F)(F)F,0.00010129781573465,Positive
R2,CC(C)(O),5.70576122203e-05,Positive
R7,OCCCO,8.37684646166e-05,Positive
R5,N/C(=C\C(=O))C(Cl)(Cl)Cl,0.0001301310794983,Positive
R3,CN(C)CCNC(=O),0.00013547575614005,Positive
R2,CCC(C)N,0.00011068596503154999,Positive
R3,CCC(C)C(=O)O,0.00015810535952299999,Positive
R1,CC(C)=C(OC(=O)CC(C)C)C(=O),0.00015886312082555,Positive
R3,FC(F)(F)C(O)C(F)(F)F,0.00010003685766995,Positive
R2,CC(O)C,6.05124981204e-05,Positive
R2,O=C(NO),0.00015974553708205,Positive
