rgroup_label,rgroup_smiles,active_count,inactive_count,enrichment_score
R5,CCC(COC(=O)N[*:5])NC(=O)OCC(C)C,1,0,inf
R5,CC(C)[*:5],3,0,inf
R5,CC(NC(=O)CO[*:5])C(=O)O,1,0,inf
R5,CC(C)=CC(=O)C/C(C)=C/C[*:5],2,0,inf
R5,CC(C)=CCC/C(C)=C/C[*:5],1,0,inf
R5,CC(C)=CC[*:5],2,0,inf
R5,CC(C)CN[*:5],1,0,inf
R5,C=CC[*:5],4,0,inf
R5,CC(=O)O[*:5],2,0,inf
R3,CC(C)(O)[*:3],1,0,inf
R3,CC(C)/C=C/C(=O)[*:3],1,0,inf
R3,CC(C)=CCC/C(C)=C/C[*:3],2,0,inf
R3,CC(C)=CC[*:3],2,0,inf
R3,CC(C)C(Cl)=NOC(=O)N[*:3],1,0,inf
R3,CC(C)CC(=O)NC(=S)NNC(=O)[*:3],2,0,inf
R3,CC(C)CCS[*:3],1,0,inf
R3,CC(C)(C)NC(=O)NC(=O)COC(=O)C[*:3],1,0,inf
R3,CC(C)(C)OC(=O)CO[*:3],1,0,inf
R3,CC(C)(C)[*:3],3,0,inf
R3,CC(C)(O)CC(=O)[*:3],1,0,inf
R3,CC(=O)NC[*:3],1,0,inf
R3,C=CC(C)(C)O[*:3],2,0,inf
R3,C=CCNC(=S)NNC(=O)[*:3],1,0,inf
R3,C=CCNS(=O)(=O)[*:3],1,0,inf
R3,C=C[*:3],3,0,inf
R3,CC(=O)CC[*:3],1,0,inf
R5,C=C(C)[*:5],1,0,inf
R5,C=C(CN(C)C)C(=O)[*:5],2,0,inf
R5,C=CC(C)(C)[*:5],1,0,inf
R5,C=CCN(CC=C)C(=O)N[*:5],1,0,inf
R5,C=CCN=C(NC#N)SCC(=O)[*:5],1,0,inf
R5,C=CCNC(=S)NNC(=O)[*:5],1,0,inf
R4,O=S(=O)(O)[*:4],1,0,inf
R4,OC[*:4],3,0,inf
R4,O=C(NCC(F)(F)F)N[*:4],1,0,inf
R4,O=C(NCCO)[*:4],1,0,inf
R4,O=C(O)/C=C/[*:4],1,0,inf
R4,O=C(O)CCC(=O)OCC(=O)[*:4].O[*:4],1,0,inf
R4,O=C(O)C[*:4],1,0,inf
R4,O=C[*:4],1,0,inf
R3,CCCCCC(=O)N/N=C(\C)[*:3],1,0,inf
R3,CCCCCC(=O)NNC(=S)NC(=O)[*:3],1,0,inf
R3,CCCCCCCC/C=C\CCCCCCCC(=O)NCC[*:3],1,0,inf
R3,CCCCCCCCC[*:3],1,0,inf
R3,CCCCCCCCC[C@H](O)CC(=O)CC[*:3],1,0,inf
R3,CCCCCCCCOC(=O)[*:3],1,0,inf
R3,CCCCCCC[C@H](O)CC(=O)CC[*:3],1,0,inf
R3,CCCCCCNC(=O)O[*:3],1,0,inf
R3,CCC(C)C(NC(=O)[*:3])C(=O)O,1,0,inf
R3,CCC(C[*:3])C(=O)O,1,0,inf
R3,CCCC(=O)N[*:3],1,0,inf
R3,CCCCC(=O)NC(=S)N[*:3],1,0,inf
R3,CCCCC/C=C/C(=O)CC[*:3],1,0,inf
R3,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)N[*:3],1,0,inf
R3,CC(C)[C@H](O)CC(=O)[*:3],1,0,inf
R3,CCC(=O)[*:3],1,0,inf
R3,CC(C)CN(N)CC[*:3],1,0,inf
R3,CC(C)CNC(=O)NC(=O)COC(=O)/C=C/[*:3],1,0,inf
R3,CC(C)NC(=O)[*:3],1,0,inf
R3,CC(C)OCCCNC(=O)CNC(=O)[*:3],1,0,inf
R3,CC(C)S(=O)(=O)N[*:3],1,0,inf
R4,N#CC(C#N)=C/C(C#N)=C(/N)[*:4],1,0,inf
R4,NC(=O)N(O)CC#C[*:4],1,0,inf
R4,NC(=O)[*:4],2,0,inf
R4,C[*:4].O[*:4],2,0,inf
R4,C[C@@H](C#C[*:4])N(O)C(N)=O,1,0,inf
R4,C[C@H](C#C[*:4])N(O)C(N)=O,1,0,inf
R4,COCO[*:4],1,0,inf
R4,C[*:4].C[*:4],19,0,inf
R4,CNS(=O)(=O)[*:4],1,0,inf
R4,COCCCNC(=S)[*:4],1,0,inf
R4,COCCN[*:4],1,0,inf
R3,CCOC(CO)[*:3],1,0,inf
R3,CCOCC[*:3],1,0,inf
R3,CN(C)C(=O)NC[*:3],1,0,inf
R3,CN(C)CCCNC(=O)[*:3],2,0,inf
R3,CCOC(=O)/C=C/C(=O)N[*:3],2,0,inf
R3,CCOC(=O)C[*:3],1,0,inf
R3,CCOC(=O)NC(=O)/C(C#N)=C/[*:3],1,0,inf
R3,CCC[*:3],2,0,inf
R3,CCN(CC)C(=O)N[*:3],1,0,inf
R3,CCN(CC)CCCO[*:3],1,0,inf
